,Total Frame Lenght
0,45
1,47
2,64
3,69
4,83
5,63
6,47
7,53
8,35
9,37
10,41
11,39
12,64
13,48
14,72
15,78
16,88
17,69
18,72
19,68
20,37
21,36
22,40
23,74
24,69
25,43
26,50
27,47
28,59
29,57
30,80
31,57
32,48
33,47
34,46
35,62
36,40
37,81
38,43
39,62
40,97
41,70
42,57
43,42
44,53
45,58
46,87
47,49
48,61
49,70
50,88
51,113
52,83
53,63
54,51
55,33
56,32
57,34
58,76
59,51
60,49
61,60
62,61
63,58
64,53
65,55
66,51
67,36
68,43
69,63
70,73
71,49
72,49
73,52
74,78
75,52
76,48
77,58
78,36
79,43
80,44
81,46
82,38
83,55
84,87
85,66
86,45
87,64
88,60
89,50
90,84
91,77
92,60
93,58
94,40
95,39
96,40
97,42
98,40
99,67
100,57
101,60
102,57
103,73
104,66
105,58
106,57
107,48
108,39
109,56
110,42
111,81
112,82
113,52
114,57
115,58
116,69
117,85
118,80
119,52
120,55
